100133144	0.0217	0.920
100134869	0.3159	0.130
10357	0.2777	0.280
10431	-0.2028	0.290
155060	-0.1196	0.520
340602	-0.1997	0.360
390284	-0.0796	0.660
57714	0.1924	0.320
645851	-0.0519	0.790
653553	0.2530	0.270
8225	-0.1888	0.370
90288	0.0992	0.610
1	-0.3695	0.074
54715	0.1893	0.410
87769	-0.0894	0.620
144568	-0.1811	0.340
2	-0.1609	0.480
53947	-0.180	0.350
8086	-0.0150	0.940
65985	0.0417	0.850
51166	0.1211	0.480
79719	-0.0645	0.750
22848	0.1459	0.450
14	0.2120	0.360
15	0.0101	0.960
57505	0.1817	0.370
80755	0.3251	0.160
16	-0.0736	0.720
60496	0.2668	0.200
132949	-0.3704	0.095
10157	0.1191	0.530
26574	0.3674	0.081
9625	0.132	0.560
18	0.3920	0.110
10349	-0.0827	0.710
79963	-0.2270	0.300
26154	-0.1412	0.520
154664	-0.0116	0.960
650655	-0.1696	0.450
19	-0.0360	0.850
20	0.121	0.520
21	0.2353	0.220
24	-0.0887	0.720
23461	0.110	0.570
23460	-0.1295	0.560
10347	0.142	0.490
10351	-0.2178	0.340
10350	-0.1185	0.630
23456	0.1848	0.430
5243	-0.0422	0.830
5244	0.1166	0.610
10058	-0.2714	0.230
22	-0.5143	0.037
11194	0.1274	0.510
23457	0.4381	0.027
89845	-0.0947	0.630
85320	-0.0186	0.930
4363	-0.0231	0.900
1244	-0.0611	0.770
8714	-0.0697	0.760
10257	-0.1012	0.610
10057	-0.0476	0.790
653190	-0.3006	0.180
730013	-0.2855	0.150
368	-0.2035	0.310
6833	-0.1573	0.480
10060	0.0498	0.800
215	0.1617	0.480
225	-0.1308	0.510
5825	-0.3248	0.110
5826	-0.1429	0.460
6059	-0.0526	0.820
23	0.2840	0.120
10061	0.0898	0.600
55324	0.3449	0.061
9619	0.0214	0.910
9429	-0.1984	0.390
64137	0.1368	0.530
64240	-0.2181	0.320
55347	-0.0514	0.790
83451	0.0782	0.720
145447	0.0340	0.890
26090	0.0999	0.670
84945	-0.1782	0.350
25864	-0.0198	0.930
84836	-0.1587	0.390
116236	0.0409	0.850
84696	0.4948	0.036
11057	0.3078	0.120
171586	-0.0755	0.700
63874	-0.134	0.530
51099	-0.2382	0.290
57406	0.000557	1.000
79575	-0.3715	0.099
10006	-0.3498	0.140
10152	0.1515	0.410
25890	-0.0783	0.700
51225	0.0701	0.720
25	0.0269	0.890
27	0.3287	0.130
3983	-0.0340	0.860
84448	0.3245	0.200
22885	0.0528	0.790
28	-0.0163	0.940
26	0.0549	0.810
29	0.1696	0.420
29777	-0.1574	0.370
80325	-0.1557	0.440
25841	0.0852	0.640
30	-0.0471	0.830
10449	-0.0012	1.000
31	0.1630	0.340
32	-0.0219	0.910
80724	0.3680	0.073
84129	-0.2586	0.230
27034	0.0286	0.880
28976	0.2342	0.330
33	-0.1045	0.590
34	-0.2880	0.170
36	-0.3796	0.130
35	-0.277	0.220
37	-0.2047	0.340
176	0.1680	0.380
9744	0.00299	0.990
23527	-0.384	0.095
116983	0.0557	0.780
38	-0.0384	0.870
39	-0.0992	0.670
64746	0.0819	0.700
79777	-0.1487	0.480
91452	-0.1264	0.560
84320	-0.0453	0.810
414149	0.0106	0.970
40	-0.1557	0.530
41	0.364	0.130
9311	-0.0156	0.94
55515	0.1604	0.390
84680	-0.290	0.230
65057	0.0323	0.870
59272	-0.0145	0.930
340485	0.0810	0.660
55331	-0.1210	0.570
1636	0.260	0.200
43	0.2033	0.420
22985	0.2771	0.170
47	0.1957	0.340
57001	-0.2374	0.210
48	-0.1935	0.290
50	-0.1747	0.360
26027	0.0933	0.600
134526	-0.2563	0.240
55856	-0.1603	0.430
641371	-0.1289	0.470
10965	-0.2234	0.170
122970	-0.3795	0.083
641372	-0.3731	0.170
11332	0.4199	0.051
10005	-0.3197	0.160
23597	-0.2975	0.130
51	-0.2007	0.300
8309	0.0923	0.670
8310	0.0422	0.860
55289	0.0871	0.710
52	-0.0737	0.720
53	0.1530	0.520
54	-0.1652	0.480
51205	0.0549	0.820
92370	-0.2702	0.280
55	-0.0261	0.900
84519	-0.7922	0.00057
93953	-0.0397	0.820
56	-0.0227	0.910
49	-0.0783	0.680
23205	0.0232	0.900
81616	-0.2329	0.230
80221	-0.4538	0.047
197322	-0.1047	0.600
2180	-0.0728	0.680
2181	0.0138	0.940
2182	-0.1481	0.470
51703	0.0280	0.890
23305	0.1224	0.530
6296	-0.0836	0.680
54988	-0.1752	0.430
84532	0.1255	0.570
55902	-0.0286	0.910
79611	-0.0381	0.850
58	-0.246	0.250
59	-0.1729	0.440
60	-0.1800	0.420
70	-0.0174	0.920
71	-0.0994	0.670
72	-0.0575	0.800
86	-0.0305	0.880
51412	0.3583	0.190
87	-0.1931	0.350
88	0.1842	0.350
81	0.1056	0.580
55860	-0.190	0.310
10121	0.1324	0.530
10120	-0.3544	0.084
10097	0.316	0.110
57180	0.2867	0.190
653857	0.4656	0.011
10096	0.00764	0.970
79913	-0.0276	0.900
64431	-0.00792	0.970
93973	0.2345	0.230
91	0.2436	0.220
130399	0.1663	0.450
90	0.0703	0.740
92	0.0588	0.770
93	0.1182	0.510
94	-0.0160	0.940
95	-0.0926	0.630
91703	-0.1977	0.330
97	-0.1995	0.350
98	-0.368	0.130
161931	0.1166	0.620
161823	-0.5423	0.016
102	0.226	0.290
4185	-0.1233	0.560
8038	-0.0364	0.89
8751	0.2101	0.400
6868	0.2554	0.240
8728	0.2221	0.26
8748	0.2545	0.230
145241	-0.1057	0.700
8747	-0.122	0.560
53616	-0.0133	0.950
8745	0.4073	0.054
10863	-0.0163	0.930
203102	-0.1958	0.280
80332	-0.1977	0.300
8755	0.0967	0.670
101	-0.2280	0.320
8754	-0.1037	0.630
27299	0.0961	0.650
81794	-0.1644	0.350
81792	0.2939	0.210
11093	0.0513	0.810
140766	0.2514	0.340
170689	-0.0373	0.860
170690	0.3336	0.100
170691	0.1689	0.430
170692	-0.0669	0.710
171019	0.0863	0.680
9510	0.0531	0.810
9509	-0.1343	0.520
9508	-0.0562	0.770
9507	0.1600	0.510
11096	-0.0210	0.910
11174	0.2044	0.310
11173	0.1174	0.590
11095	0.0241	0.910
56999	0.0197	0.910
92949	-0.0151	0.940
9719	0.2352	0.270
57188	0.0289	0.890
54507	-0.1385	0.520
339366	-0.1519	0.500
11033	-0.0171	0.940
55803	-0.0762	0.700
104	0.1928	0.400
105	0.2913	0.17
103	0.0657	0.720
23536	0.00775	0.970
134637	-0.0995	0.590
113179	-0.2097	0.330
100	-0.4385	0.031
57143	0.2173	0.250
90956	0.1321	0.560
79934	-0.0882	0.670
203054	0.0308	0.870
55811	-0.2245	0.370
107	0.4488	0.037
108	-0.0289	0.890
109	-0.0805	0.700
196883	-0.0818	0.670
111	0.1106	0.590
112	0.0739	0.670
113	0.1646	0.450
114	-0.0542	0.800
115	0.11	0.610
117	0.0802	0.700
116	-0.0768	0.720
113451	-0.429	0.094
118	0.1909	0.350
119	0.3184	0.180
120	-0.2539	0.220
125	-0.0809	0.710
128	-0.345	0.120
137872	-0.2146	0.300
55256	-0.0542	0.780
149685	-0.000186	1.000
51094	-0.1417	0.490
79602	-0.0365	0.830
132	-0.3853	0.110
79924	0.0841	0.640
133	-0.0632	0.770
22850	0.1762	0.350
23394	0.0808	0.630
134	0.1102	0.580
135	-0.1784	0.420
136	-0.2307	0.300
140	-0.0946	0.600
84890	0.0840	0.680
83440	-0.162	0.410
113622	0.2888	0.200
54936	-0.070	0.750
141	0.2984	0.140
148	-0.2214	0.300
147	0.2877	0.210
146	0.1473	0.450
150	-0.0253	0.910
151	-0.0341	0.880
152	0.1444	0.60
153	-0.1662	0.400
154	-0.1912	0.370
156	0.0494	0.810
157	0.1463	0.530
11047	0.4883	0.038
158	-0.3312	0.130
122622	-0.216	0.310
159	0.1503	0.440
165	0.2032	0.270
121536	-0.0149	0.940
64782	0.2137	0.220
166	0.0132	0.940
134265	-0.0266	0.900
84632	0.2351	0.290
60312	0.3638	0.071
246182	0.0825	0.660
4299	-0.0399	0.830
2334	0.250	0.190
3899	0.1106	0.550
27125	0.1683	0.350
172	-0.0405	0.830
10939	0.3932	0.046
125061	-0.1500	0.390
54812	0.2384	0.250
387763	-0.4728	0.034
119385	-0.1907	0.380
116987	0.3491	0.099
116986	0.3308	0.190
116988	0.2697	0.180
