100133144	-0.12568	0.43
100134869	-0.1420	0.36
10357	0.1833	0.23
10431	0.10817	0.45
155060	0.20728	0.21
388795	0.26365	0.12
57714	-0.01142	0.94
645851	0.01784	0.91
653553	0.04351	0.77
8225	-0.07322	0.63
90288	0.03058	0.83
1	0.00447	0.98
54715	-0.12510	0.47
87769	0.12139	0.40
144568	-0.04292	0.81
2	-0.32490	0.032
53947	0.0761	0.63
8086	-0.03151	0.83
65985	0.03545	0.81
13	-0.2925	0.058
51166	-0.17247	0.26
79719	0.09164	0.58
22848	-0.00757	0.96
14	0.16687	0.25
15	0.13632	0.38
57505	0.25884	0.12
80755	-0.03171	0.83
16	-0.11596	0.45
60496	-0.04172	0.76
132949	-0.10578	0.48
10157	0.00870	0.95
26574	0.1718	0.24
9625	0.31032	0.047
18	0.04695	0.78
10349	0.23613	0.14
79963	-0.05146	0.74
26154	-0.1971	0.22
154664	-0.11978	0.45
650655	0.01662	0.91
19	-0.07714	0.63
20	-0.03148	0.84
21	-0.11497	0.45
24	0.01736	0.91
23461	-0.05912	0.68
23460	-0.0939	0.56
10347	-0.16335	0.28
10351	-0.01406	0.93
10350	-0.07623	0.64
23456	-0.27947	0.057
5243	-0.27960	0.087
5244	0.05852	0.70
340273	0.0081	0.96
10058	0.08007	0.62
22	-0.16843	0.33
11194	0.0914	0.53
23457	-2.54e-01	0.11
89845	0.37313	0.022
85320	-0.26022	0.13
4363	0.25532	0.088
1244	0.09807	0.51
8714	0.04486	0.78
10257	-0.04375	0.78
10057	0.06672	0.65
653190	-0.12034	0.45
730013	-0.07041	0.64
368	-0.16149	0.27
10060	-0.3609	0.028
215	-0.13457	0.39
225	-0.37342	0.022
5825	-0.12976	0.41
5826	0.21017	0.20
6059	-0.19825	0.17
23	-0.02111	0.90
10061	0.14177	0.39
55324	0.12127	0.42
9619	-0.03555	0.82
9429	-0.15834	0.29
64137	0.10366	0.51
64240	0.00849	0.96
64241	-0.02581	0.87
55347	-0.13552	0.42
83451	0.04721	0.77
145447	-0.11050	0.47
26090	0.11826	0.47
84945	0.22486	0.15
25864	0.05302	0.72
84836	-0.14932	0.31
116236	-0.16902	0.29
84696	-0.02944	0.85
11057	-0.15550	0.32
171586	-0.21760	0.17
63874	0.17933	0.27
51099	-0.28605	0.066
57406	-0.06244	0.73
79575	0.13035	0.37
10006	-0.27851	0.076
10152	-0.11477	0.44
25890	-0.15118	0.34
51225	0.00334	0.98
25	-0.02378	0.88
27	-0.04663	0.77
3983	0.12914	0.41
84448	-0.12367	0.42
22885	0.06506	0.71
28	0.05976	0.71
26	-0.06528	0.65
29	0.10253	0.53
29777	0.15466	0.32
80325	0.08955	0.54
25841	0.01678	0.91
30	0.26254	0.086
10449	-0.07246	0.65
31	0.00845	0.96
32	0.12575	0.43
80724	-0.07617	0.62
84129	-0.15602	0.31
27034	-0.19284	0.19
28976	-0.09212	0.57
33	-0.06211	0.71
34	-0.27968	0.053
36	-0.18403	0.22
35	-0.01590	0.91
37	-0.0635	0.71
176	-0.00351	0.98
9744	-0.14694	0.36
23527	0.05869	0.70
116983	-0.05346	0.75
38	-2.19e-01	0.12
39	0.12350	0.42
64746	-0.18783	0.25
79777	0.0156	0.92
91452	-0.29606	0.05
84320	0.14410	0.37
414149	0.15941	0.33
40	-0.08890	0.59
41	-0.05504	0.73
9311	0.06507	0.67
55515	0.19278	0.26
84680	0.14346	0.37
65057	0.04755	0.76
59272	-0.11111	0.49
340485	-0.28519	0.076
55331	0.10760	0.48
1636	-0.04906	0.76
43	0.08025	0.61
22985	0.19443	0.22
47	0.10898	0.48
57001	0.18218	0.23
48	-0.03509	0.82
50	-0.1031	0.52
26027	0.09486	0.54
55856	-0.01181	0.94
641371	-0.03963	0.80
10965	0.04628	0.76
122970	0.07667	0.61
641372	-0.01251	0.93
11332	-0.03336	0.83
10005	0.04164	0.78
23597	0.03801	0.81
51	0.03582	0.82
8309	-0.25995	0.097
8310	-0.30056	0.042
55289	-0.06908	0.66
52	0.19427	0.21
53	0.22634	0.13
54	-0.02109	0.90
51205	0.17371	0.26
92370	0.06905	0.64
55	-0.09180	0.61
84519	0.16795	0.27
93953	-0.08535	0.58
56	0.10751	0.47
49	-0.01262	0.93
23205	0.00295	0.98
81616	-0.01784	0.91
80221	0.18107	0.23
197322	0.06127	0.67
2180	-0.15463	0.34
2181	0.08047	0.63
2182	-0.06157	0.68
51703	-0.07479	0.63
23305	-0.16699	0.28
116285	-0.13154	0.39
6296	-0.15162	0.33
54988	-0.19122	0.22
84532	-0.17846	0.27
55902	0.01795	0.92
79611	-0.01841	0.90
58	-0.05762	0.71
59	-0.24242	0.14
345651	0.01691	0.92
60	0.13811	0.38
70	-0.11721	0.48
71	0.01179	0.94
72	-0.1809	0.24
86	0.16232	0.27
81569	0.06289	0.72
87	-0.13347	0.39
88	0.02897	0.86
81	0.06436	0.70
55860	0.15962	0.27
10121	3.38e-01	0.018
10120	0.06236	0.67
10097	0.09888	0.51
57180	0.10236	0.52
653857	-0.06104	0.70
10096	-0.12266	0.43
79913	0.12947	0.38
64431	0.14725	0.34
93973	0.02492	0.88
91	-0.07351	0.66
130399	-0.18008	0.28
90	-0.00370	0.98
92	0.0827	0.60
93	0.04974	0.75
94	-0.21270	0.17
95	-0.11598	0.48
91703	-0.10398	0.52
97	0.20347	0.20
98	-0.06031	0.72
