T355292	-0.09566	0.60
T275568	0.2100	0.19
T019989	0.2810	0.12
T275564	-0.4590	0.009
T190264	0.25057	0.14
T324410	-0.10917	0.53
T324416	0.1862	0.34
T324414	0.0826	0.68
T231786	0.2648	0.14
T107549	-0.2301	0.26
T074554	0.19996	0.22
T073016	0.03439	0.83
T218701	0.30483	0.087
T327859	0.1699	0.26
T093996	0.12947	0.44
T085771	0.1359	0.47
T181493	0.2021	0.26
T348280	0.321	0.074
T117944	-0.00240	0.99
T379044	-0.04840	0.79
T246324	0.1388	0.44
T263567	0.0514	0.77
T284448	0.24140	0.16
T205376	0.2575	0.12
T214861	-0.08917	0.60
T139412	0.07325	0.62
T200383	-0.00857	0.96
T078794	-0.11922	0.47
T018350	0.0500	0.78
T110327	0.0762	0.64
T151603	0.2568	0.13
T359449	-0.00607	0.98
T254672	-0.0804	0.67
T353403	-0.16949	0.38
T098325	0.2377	0.18
T333063	0.2286	0.13
T291191	0.00853	0.97
T310278	0.0172	0.93
T176285	0.0457	0.76
T250117	-0.1755	0.34
T261545	-0.01241	0.94
T261544	-0.03553	0.84
T048595	0.0506	0.77
T333819	0.0494	0.77
T195261	0.45321	0.0086
T247954	0.3948	0.029
T168482	0.07722	0.67
T168481	0.1450	0.39
T230009	0.07004	0.69
T114379	0.313425	0.076
T314380	0.20146	0.26
T061702	0.2129	0.24
T061258	0.06211	0.72
T060079	0.3423	0.043
T364581	0.00181	0.99
T195198	0.1146	0.55
T336822	-0.2286	0.17
T050359	0.05735	0.75
T302771	0.0706	0.65
T350607	0.2383	0.13
T152186	0.04936	0.78
T023588	-0.0707	0.65
T136494	-0.14069	0.40
T123737	0.10094	0.58
T066031	-0.1464	0.43
T148768	0.03129	0.86
T115222	0.06476	0.68
T115221	0.04911	0.76
T153365	-0.10088	0.52
T205747	0.2477	0.18
T205748	0.14898	0.41
T129676	0.2572	0.11
T129677	0.18763	0.26
T129675	0.18883	0.34
T272008	-0.34228	0.069
T230701	0.17777	0.29
T129959	0.0236	0.89
T177475	0.2090	0.27
T196170	0.01107	0.94
T294244	0.2260	0.22
T125569	-0.46697	0.018
T309376	0.06547	0.71
T129451	-0.11497	0.54
T130155	0.37513	0.023
T130156	-0.11938	0.52
T324337	0.09765	0.57
T102504	-0.0593	0.70
T281576	-0.5354	0.013
T212634	-0.03631	0.81
T212633	0.03317	0.83
T129955	-0.00585	0.97
T121286	0.00798	0.96
T373973	0.1950	0.23
T074090	0.16671	0.36
T117175	0.00506	0.98
T074099	0.2479	0.14
T074098	0.24814	0.14
T241117	-0.05036	0.76
T165981	0.26035	0.17
T126035	-0.0868	0.63
T126034	-0.1938	0.30
T334257	0.18953	0.29
T182926	-0.0851	0.63
T229128	0.42844	0.021
T177897	0.3902	0.013
T188120	-0.04739	0.79
T061397	0.35793	0.045
T274516	0.1804	0.29
T126159	0.0157	0.93
T150556	0.1562	0.39
T150550	0.26724	0.13
T333158	0.1335	0.47
T216399	0.07166	0.72
T217446	0.13610	0.47
T375533	0.13911	0.43
T145003	0.0415	0.81
T334872	0.2120	0.20
T226169	-0.17427	0.33
T067941	0.13885	0.41
T206054	-0.08998	0.60
T380808	0.12610	0.54
T307687	0.04564	0.80
T060449	0.05975	0.69
T202990	0.2307	0.17
T224837	-0.12488	0.50
T026197	-0.000584	1.00
T045664	0.10720	0.45
T173769	0.21900	0.24
T156491	0.1062	0.57
T031872	0.1598	0.35
T371236	0.02119	0.90
T031878	-0.11363	0.47
T076550	-0.2505	0.16
T356489	0.08309	0.66
T085712	0.2955	0.071
T055152	0.3015	0.083
T044900	0.18018	0.29
T329662	-0.05255	0.78
T252688	0.00327	0.99
T131417	-0.0872	0.57
T252683	-0.1300	0.41
T237047	0.3165	0.08
T009216	0.1303	0.44
T018355	0.23457	0.19
T154791	-0.01266	0.94
T154062	0.00667	0.97
T330617	0.1215	0.53
T216095	-0.1913	0.24
T196789	0.2320	0.23
T004062	-0.0893	0.61
T065407	0.04420	0.80
T335649	0.18485	0.30
T048144	-0.02229	0.89
T114088	-0.0423	0.82
T365891	-0.0925	0.56
T372142	0.24428	0.15
T102861	-0.38163	0.087
T251885	0.23590	0.21
T301689	0.20034	0.26
T301683	0.22307	0.26
T301681	0.0506	0.78
T301684	0.2204	0.25
T008165	0.0293	0.86
T082674	-0.1283	0.44
T082671	-0.1339	0.46
T010910	0.02159	0.91
T061273	0.0690	0.70
T249715	0.3565	0.073
T082905	0.0828	0.68
T032282	0.23343	0.21
T028625	0.18068	0.36
T174358	0.07478	0.66
T362814	0.25761	0.14
T063691	0.1359	0.44
T123753	-0.04891	0.76
T307745	0.01485	0.93
T233174	0.35533	0.074
T133951	-0.05032	0.77
T093217	0.06245	0.69
T268920	-0.50473	0.0024
T153565	0.1579	0.35
T205503	-0.1427	0.38
T309954	-0.03967	0.84
T030864	-0.37282	0.037
T030862	-0.2266	0.13
T030861	-0.263940	0.12
T066064	0.09335	0.56
T232333	0.08658	0.62
T334719	-0.18174	0.30
T303449	0.27548	0.099
T014702	0.01369	0.93
T346493	0.2787	0.12
T166425	0.17306	0.31
T105518	0.21648	0.24
T346727	0.2034	0.26
T346726	0.3539	0.051
T192347	-0.14522	0.37
T081835	-0.1263	0.46
T081839	0.13188	0.49
T037552	-0.16287	0.36
T330111	-0.30612	0.11
T172132	0.04114	0.79
T166615	0.0883	0.58
T021357	0.1795	0.30
T064965	0.01151	0.95
T021359	0.0144	0.94
T225819	0.08504	0.65
T316759	-0.102	0.51
T013531	0.03297	0.85
T311397	0.20528	0.27
T133178	-0.04614	0.78
T321584	-0.04244	0.81
T115742	-0.01348	0.94
T098795	-0.02280	0.89
T380633	0.1573	0.39
T307913	0.3032	0.096
T334850	-0.04392	0.79
T311932	0.02177	0.90
T203592	-0.01607	0.93
T096538	-0.13025	0.46
T213034	0.2596	0.19
T185669	-0.14541	0.39
T364173	0.1939	0.28
T000790	-0.04490	0.79
T269318	-0.06067	0.74
T080164	0.13641	0.45
T002331	-0.32624	0.10
T142552	0.0682	0.67
T142553	-0.16205	0.34
T095719	0.42432	0.022
T002642	0.0958	0.56
T163561	0.27049	0.14
T163562	-0.19461	0.24
T234591	0.13584	0.46
T302636	-0.0780	0.66
T234599	0.0681	0.66
T017152	0.2938	0.14
T322118	0.44504	0.0056
T050475	0.24885	0.12
T174167	0.05231	0.76
T023464	0.0975	0.55
T165464	0.2534	0.16
T139635	-0.19253	0.28
T138855	0.32266	0.072
T301744	-0.01455	0.93
T138853	0.07322	0.67
T347609	0.3210	0.045
T232291	-0.00562	0.97
T134118	0.00415	0.98
T006482	-0.1841	0.34
T303584	0.16235	0.32
T196766	0.18517	0.25
T139457	0.03690	0.82
T350255	-0.0250	0.89
T212172	0.47865	0.025
T219477	0.26142	0.091
T219474	0.30209	0.041
T219475	0.31764	0.046
T219472	0.2328	0.12
T115171	0.1375	0.41
T350782	0.29619	0.097
T242849	-0.202	0.25
T257678	0.3026	0.11
T124030	0.0288	0.87
T257672	0.36943	0.056
T253312	0.14802	0.38
T330320	-0.2641	0.17
T110182	0.102	0.55
T363042	-0.30917	0.10
T052341	0.02946	0.86
T183455	-0.04247	0.81
T017712	0.23109	0.25
T321643	0.1479	0.39
T015570	0.1247	0.52
T175026	0.02038	0.90
T175025	0.07090	0.69
T302345	0.10292	0.56
T170471	0.1779	0.33
T342425	0.1228	0.50
T207205	0.2798	0.14
T071362	0.25745	0.17
T282276	-0.17337	0.28
T010931	0.4334	0.029
T206046	0.15078	0.35
T275816	0.3867	0.046
T275812	0.150	0.45
T170654	-0.04714	0.77
T184453	0.02534	0.88
T184100	0.3330	0.10
T215910	0.1606	0.31
T184450	-0.08064	0.60
T313640	0.2366	0.18
T082929	0.05354	0.77
T364547	0.4509	0.027
T038491	0.2766	0.16
T016003	-0.09603	0.60
T072147	-0.00697	0.97
T217036	0.08889	0.59
T375615	0.3772	0.033
T086002	-0.34886	0.06
T070283	-0.12828	0.46
T023099	-0.28772	0.12
T004642	0.10014	0.59
T309027	0.1152	0.51
T153890	0.1325	0.42
T048440	0.21442	0.22
T181757	0.08474	0.63
T249156	-0.03902	0.82
T120518	-0.01051	0.95
T176835	0.13646	0.46
T241842	0.0747	0.68
T356780	0.07392	0.72
T275267	0.04933	0.76
T284898	-0.02099	0.91
T142346	-0.16119	0.35
T127418	0.2630	0.15
T043711	0.2857	0.091
T340567	-0.2001	0.28
T125480	0.06970	0.70
T122173	0.01208	0.93
T236072	-0.14072	0.35
T295238	0.12632	0.42
T018097	-0.11990	0.50
T311009	0.2512	0.13
T296205	-0.05143	0.75
T227317	-0.0412	0.83
T272952	-0.06186	0.73
T272951	0.0361	0.81
T338492	0.1206	0.44
T027958	0.19689	0.33
T027959	0.12988	0.45
T287545	-0.0992	0.54
T287546	-0.1727	0.31
T196864	0.0519	0.74
T287543	-0.09084	0.60
T286149	-0.0471	0.79
T320704	0.0677	0.69
T059999	0.1419	0.40
T200009	0.1441	0.41
T382727	-0.0651	0.71
T382726	-0.0691	0.69
T200005	0.229	0.25
T036710	0.08978	0.67
T123738	-0.03270	0.84
T217484	0.1854	0.25
T330861	0.16836	0.36
T109790	0.0717	0.62
T164132	0.0877	0.58
T164137	0.211003	0.25
T229471	0.4124	0.018
T187313	-0.14957	0.44
T068457	0.21227	0.25
T180348	0.11493	0.50
T180347	0.02542	0.89
T186847	0.24955	0.15
T191060	0.08951	0.60
T077888	-0.07282	0.68
T272470	-0.08248	0.63
T097637	0.06714	0.70
T234355	0.2889	0.088
T141182	0.48815	0.0078
T040199	0.15824	0.36
T267044	-0.29987	0.098
T082004	-0.28017	0.13
T039355	0.07295	0.69
T072636	0.14594	0.43
T093645	-0.00621	0.97
T074283	0.28344	0.12
T141985	-0.1169	0.53
T322753	0.13725	0.45
T074289	0.10531	0.50
T346024	0.26506	0.093
T302619	0.04311	0.81
T106671	-0.09838	0.53
T243808	-0.0507	0.78
T117619	0.1475	0.36
T162496	-0.01568	0.93
T290659	-0.1760	0.28
T117615	0.0969	0.56
T071011	0.26940	0.13
T174146	0.2458	0.19
T284390	0.1153	0.53
T287594	-0.14923	0.43
T206254	-0.04143	0.79
T206255	-0.05585	0.73
T139479	0.1541	0.37
T328391	-0.0827	0.63
T351417	0.3607	0.076
T241435	0.06433	0.69
T340972	0.02088	0.91
T350231	0.22041	0.17
T350234	0.3258	0.049
T159555	0.28243	0.096
T350239	0.33725	0.051
T251305	-0.00227	0.99
T062970	0.25038	0.16
T115110	0.30950	0.098
T206259	0.00820	0.96
T307142	-0.2554	0.14
T063374	0.0224	0.90
T042364	0.10500	0.56
T158717	0.04988	0.77
T010075	0.31161	0.12
T287156	0.07604	0.65
T010079	0.43465	0.012
T301609	0.12774	0.44
T216234	0.1610	0.39
T377770	0.08759	0.60
T367184	-0.04265	0.83
T238556	0.18303	0.30
T114645	0.15236	0.31
T238558	0.2756	0.13
T078556	-0.15932	0.35
T078802	0.1357	0.41
T250319	-0.06494	0.73
